reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
937b3e53-cab9-43a5-965a-a70dda63cc7a,Yuli Ana,https://play-lh.googleusercontent.com/a/ACg8ocJkRCEDZ7-SKfKmkT80RghN_d7CXjblGn6y7W_MkxseAgXKRg=mo,"Ini Livin lagi kenapa?? Di hp 1 saya, Livin nya keluar"" Mulu, bukan masala di hp saya, karena saya dah coba uninstall baru download lagi, bisa pas login, cuma pas berhasil masuk kembali ke akun saya, masih sama aja, keluar terus. Saya coba di hp lain, pas bagian OTP malah katanya ada masalah, dari kemarin loh ada masalah terus, Ini gw lagi butuh saldonya secepatnya, Lama"" mending ganti dah kalau gini mulu",1,64,3.2.0,2026-02-22 09:44:27,"Halo Sahabat @Yuli Ana, mohon maaf atas ketidaknyamanannya. Agar dpt menerima SMS verifikasi OTP, pastikan jaringan internet stabil, nomor handphone benar, pengaturan SMS premium aktif, pulsa tersedia yaitu minimal Rp2.000,-. Tks~Rere",2026-02-22 09:52:19,3.2.0
869deea8-7ac8-4031-96b2-b809cef54029,TuahKurnia,https://play-lh.googleusercontent.com/a-/ALV-UjXvLYBu3u7h5B9Z4y2_tykSVsfPWXbayKrp1QVPOD2Mer1YC0UA,"programmernya yang buat aplikasi minm literasi, masa bikin aplikasi ga bisa baca waktu otomatis, malah spam pop up atur waktu otomatis. waktu udah otomatis kok pas tersambung jaringan. perbanyak lagi literasi memprogram kalo masalah bug gini terlewat. kerjanya update ui aja bukan cari bug dan bilah komen bintang 1. soalnya yang bintang 1 lebih kasi saran yang baik, buat aplikasi kedepannya. ni make livin bisa tfnya pas dah pergatian jam. lebih tegas lagilah sama programmernya!!!!!!!",1,96,3.2.0,2026-01-30 13:46:42,"Halo Sahabat @TuahKurnia, mohon maaf atas ketidaknyamanannya. Perihal tsb akan menjadi masukan bagi kami untuk pengembangan aplikasi kedepannya dan meningkatkan kualitas layanan Bank Mandiri demi kenyamanan nasabah ya. Tks~Vika",2026-01-30 13:50:15,3.2.0
13804282-f07e-4f0e-ab06-5a57a6a2abe2,Azam Zam,https://play-lh.googleusercontent.com/a-/ALV-UjX0MT6axc_xhUvTI_FRvWS_5fJmZRUUy7SGNKkDtmczg3U9944,"Gabisa login sudah beberapa kali coba sampe beberapa hari..data sudah benar saya masukan tapi apa hasilnya, yap nihil data tidak sesuai mulu atau proses belum dapat di lanjutkan. Tolong ini gimana saldo saya sudah berkurang di kartu debit pas penarikan di mitra atm tapi uang tidak keluar atau uang ga sampe di saya sepeserpun..mini atm nya ada di Majalengka depan PT SHOETOWN Bagung,Ligung lor,Kab Majalengka.",1,214,3.2.0,2026-01-14 20:31:41,"Halo Sahabat @ZAMZAM N, mohon maaf atas ketidaknyamanannya. Perihal kendala pada layanan Livin' by Mandiri Sahabat dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri call 14000 agar dapat dilakukan pengecekan. Tks ~ Said",2026-01-14 20:34:57,3.2.0
d5588b56-8872-4603-9d47-9790e1ed57b5,yaomi inaya,https://play-lh.googleusercontent.com/a-/ALV-UjXVrbQ9tTtGyTep4vXohNOfepmOW-d0bIp-b_M9VdQvtxoz3oco,"Dari awal bikin dipersulit, mau masuk pun juga susah. Sudah ada akun tetapi waktu masukin password dibilang salah padahal sudah bener. Akhirnya diarahkan buat pass baru. Ehh waktu masukin pin, ""password belum berhasil disimpan"". Ini gimana sih?? Make mbanking yg lain mudah kok cuma aplikasi ini aja yg susah buat login?? Internet lancar, buka aplikasi lancar gaada ngadet. Aplikasi ini saja yg banyak bgt dramanya",1,195,3.2.0,2026-01-22 11:24:28,"Hai Sahabat @yaomi inaya, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Kila",2026-01-22 11:27:43,3.2.0
824e0cdd-dc40-4f75-aef4-eca931815c72,Azura Agustina,https://play-lh.googleusercontent.com/a-/ALV-UjX-b7w2BGDLXRG4w9Fgw0CFuffc6wftmPW76Xgpsk_mCONR-Ey3,Kenapa ya sekarang mandiri di jam-jam tengah malam suka melakukan pelayanan rutin terus? Saya sudah beberapa kali ingin pembayaran di tengah malam menggunakan qris tapi selalu ada pemeriksaan rutin yang pada akhirnya tidak bisa masuk aplikasi sama sekali. Hal ini sangat mengganggu transaksi karena saldo cuma berada di aplikasi mandiri saja.,2,62,3.2.0,2026-01-16 23:29:04,"Hi Sahabat @Azura Agustina, mohon maaf atas ketidaknyamanannya. Saat ini Bank Mandiri tengah melakukan pemeliharaan dan optimalisasi layanan pada Jumat, 16 Januari 2026 pukul 23.00 - selesai. Tks~Mandala",2026-01-16 23:33:11,3.2.0
1831c09c-64a7-4160-be77-386261e169a9,Seorang Manusia,https://play-lh.googleusercontent.com/a-/ALV-UjVngccwQw5KRkAtidgJpgGJHii-7Fab3Pfqsxbz3ZijFtFG7kvWFg,"Tolong segera diperbaiki! Fitur Login menggunakan Fingerprint cuman bertahan 1 hari, selebihnya nonaktif sendiri, bikin ribet bangett padahal gak di apa²in, harusnya fitur tsb untuk mempermudah dan ini malah tambah repot bolak balik ke setting buat aktifin terus",2,21,3.2.0,2026-01-31 18:39:28,"Halo Sahabat @Seorang Manusia, mohon maaf atas ketidaknyamannya. Perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Kale",2026-01-31 18:41:57,3.2.0
099f964e-c634-4475-beaf-3f9ae7aa8b81,Budi Setiawan Sembiring,https://play-lh.googleusercontent.com/a-/ALV-UjVXsgSwv6dk7-pHDeXlkms_p_KvFb_E7S1AgyFfackgD-z9w2GokA,"Ini aplikasi niat jualan fitur atau niat nyiksa nasabah sih?! Udah diatur tanggal waktu otomatis sesuai instruksi, tetep aja dibilang 'Proses belum dapat dilanjutkan'. Gak jelas banget! Orang mau transaksi penting, darurat, malah diputer-puter sama sistem yang gak sinkron. Udah hapus cache, restart HP, sampai jungkir balik tetep gak bisa. Jangan rilis update kalau cuma buat nambah error! Kerjaannya cuma nyusahin nasabah doang!",1,9,3.2.0,2026-02-17 11:33:37,"Halo Sahabat @Budi Setiawan Sembiring, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Risa",2026-02-17 11:55:44,3.2.0
399571f1-97c6-4213-ba49-ef8896b0e26a,YOGI AZIZ,https://play-lh.googleusercontent.com/a-/ALV-UjWLnQcJQUQG4tQlnFSmY2_sHGQKobbRKxLAcDYn9BxgRIWqf8lr,"setelahnya update pas mau topup e toll, muncul iklan atau penawaran asuransi , jujur bagi sya itu mengganggu, bisa saja secara tidak sengaja, bisa tercentang, seharusnya buat sendiri fiture atau icon, khusus , jangan diikuti hal lain,,, apa lagi tidak berkaitan dengan bank, tolong dihapus saja !!",1,274,3.2.0,2025-12-11 08:40:47,"Halo Sahabat @YOGI AZIZ, mohon maaf atas ketidaknyamannya. Perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Carissa",2025-12-11 08:45:12,3.2.0
4d84e8a0-889c-43d5-8c7d-c722a4200b29,Maya Adetya,https://play-lh.googleusercontent.com/a-/ALV-UjU18NmBPIeqVCA0B4pkF4ZZeMpTmNf4MK7TGhKixeuxS3aQ56hO,"Biometrik untuk login tiba-tiba non aktif sendiri. Begitu login tidak bisa digunakan minta pengaturan tanggal dan jam otomatis, padahal sudah sesuai. Lalu muncul lagi keterangan proses belum dapat dilanjutkan silahkan tinggalkan halaman atau pengaturan lainnya. Ini kenapa sih? Padahal dipakainya di sore hari.",1,77,3.2.0,2026-02-14 16:46:17,"Hai Sahabat @Maya Adetya, mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami mohon untuk mengirimkan email ke mandiricare@bankmandiri.co.id atau menghubungi layanan mandiri call 14000 agar dapat dilakukan pengecekan ya. Tks~Divia",2026-02-14 16:49:15,3.2.0
0b665001-d7e3-4068-ab37-f72ddc646cfa,Akhtar Zaydan Noursyamba,https://play-lh.googleusercontent.com/a/ACg8ocIdo0IUtjkD9MQiplYd0KbORXkpp6aOU85gtvgbHG59mxdf=mo,"di deskripsi tertulis untuk android versi 7 ke ata.sedangkan hp saya versi 9 androidya tapi malah ga bisa dipake sama sekali. malah ada keteragan ""sistem penggunaan handphone anda tida mendukung untuk menggunakan livin""...sumpah aneh gajls..orng mau pake karena butuh malah dipersulit",1,16,3.2.0,2026-02-01 23:07:29,"Halo Sahabat @Akhtar Zaydan Noursyamba, mohon maaf atas ketidaknyamannya. Perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Kale",2026-02-01 23:10:33,3.2.0
