nama_tempat,user,review,rating
unknown location,hairin,"Duduk menikmati ombak di tepi pantai, sambil minum kelapa muda. Harga kelapa masih wajar  Rp. 12.000,- per buah.",4
unknown location,muhammadsafei,"pantai nya bagus, tapi agak kotor, terakhir kesini kena pungli, dan kemarin abis kesini lagi hampur kena salah sasaran dari orang yg mabuk, gak waras oknum oknum disana, hampir di pukulin rame rame teman saya oelh gerombolan mereka, semoga orang itu ditangkap dan segera diberi sanksi, parah bgt",1
unknown location,Joseph Gabriel,"Pantai Labuhan Jukung merupakan salah satu pantai terkenal di Pesisir Barat. Terletak di pusat kota Krui, pantai ini merupakan icon dari Krui, dan dapat disebut sebagai ""Kuta""nya Lampung. Disini tersedia banyak jajanan mulai dari makanan …",5
unknown location,mey deb,"Pantainya bersih, pasirnya putih, ada tempat nongkrong2 di bawah pohon rindang jadi adem sambil minum kelapa yang harganya 10k.
Masuk mobil bayar 5k, per orang bayar 3k murah harga gak digetok, pariwisatanya …",5
unknown location,Muhammad Ikhwan,"Tiket masuk IDR10.000/motor.
Pantai & Pemandangan nya bagus cuma sayang kurang terawat.
Masih banyak sampah berserakan dan area berfoto nya banyak yang rusak.",3
unknown location,Risma Aini,Pemandangan bagus akses mudah🤩🤩 …,5
unknown location,28. Tasya Marliani,"Pantainya bagus. Ombaknya lumayan besar untuk surfing, bisa liat sunset disini dengan jelas. Namun, ada satu sisi pantai yang kotor dan banyak sampah. Sepertinya jarang dibersihkan karna benar2 bertumpuk di pesisir pantai. Untuk makanan …",4
unknown location,Yadi Priadi,"Santai sore pas kesini. Berjalan kaki kesini seyelah makan bakso ikan yang terkenal di Krui. Lokasinya bersebrangan dengan lapangan sepak bola Krui
Disini ada banyak yang berjualan makanan dan jajanan …",5
unknown location,Nana Listiana,"Pantai di Lampung gak kalah Indah.
Biaya masuk ke sini sangat terjangkau.
Hanya saja jarak tempuh memang lumayan jauh dari Kota Bandar Lampung.
Namun sepadan dengan keindahan pantainya.",5
unknown location,Liza Onafia Putri,"Lautnya indah, biru banget. Sekitarnya udah kayak alun alunlah ada tempat jual makanan dan minuman, jual/tempat mainan untuk anak anak, dsb. Masuk kemarin pas masih suasana lebaran harga tiket 3k/orang. Bagus sihh tapi mungkin karena suasan lebaran jadi rame banget.",5
unknown location,Tito Alriando Wirajaya,"saya touring dari balam ke sini tak kira bagus taunya biasa aja, harga tiket masuk 5k sih murah tapi kayak ga keurus gitu karna banyak sampah pinggir laut. semoga kedepannya pihak pengelola memperhatikan kebersihan pantainya karna mengingat ini termasuk ikon kota pesibar",4
unknown location,Aditya Karnawiredja,"Pantai Labuhan Jukung menjadi salah satu dari wisata pantai yang sekaligus menjadi wisata pulau. Pulau yang terletak di seberang pantai bukan menjadi spot utama dari destinasi wisata alam ini. Walau demikian, keberadaan dari pulau tersebut …",5
unknown location,Fania,"Pantainya indah sekali terutama saat sunset. Bersih juga karena tiap hari ada petugas kebersihannya. Hanya saja ketika mereka bakar sampah, bau asapnya cukup mengganggu. Pagi hari adalah waktu yabg sangat tepat untuk bermain air (kalau …",5
unknown location,Zeroun Hudatemus,"Hari Minggu ada pasar tumpah
Cocok untuk dewasa
Anak2 belum ada tempat main air
Retribusi liar tanpa ada tiket",5
unknown location,Novvia Susantika,"Mantaapp...
Pantai yg bernama labuhan jukung adalah pantai laut lepas samudra Hindia.. soooo bagi yg tidak menguasai antai hati hati yaaa gais untuk berenang disini. …",5
unknown location,MR. Popeye darat,"Tempat yg sangat indah.
Hanya pecinta ombak yg berlama lama di sisni.(seperti saya)
Saya merekom anda yg suka berburu ombak. …",5
unknown location,Aprilianisme Dian,"Enak nyantai sore2, rekomen jajan kelapa muda aren sambil liat pantai... Jajanan masih standar harganya ya, Parkir 15rb, pantainya bersih.",5
unknown location,Evin Sihaloho,"Pantai nya hanya bisa di nikmati untuk foto2 dan santai sambil minum kelapa hijau dan makan indomie. Tidak direkomendasikan untuk berenang karena ombaknya besar. Bisa bersantai di pinggiran atau pendopo, dan tenda2 yg disediakan (free) …",3
unknown location,Abel Nathania,"Sudah dua kali ke pantai ini kalau lagi main ke tempat adekku yg di liwa pasti selalu mampir kesini...
Pasirnya putih dan ombaknya besar, jadi anak2 harus selalu di perhatikan orang tua kalau berenang, cuma memang masih banyak sampah...",5
unknown location,kakak Zack,"LABUHAN JUKUNG Plaza Tepi Pantai
Seperti kota-kota lain ibukota kabuten Pesisir Barat juga memiliki ruang terbuka hijau, uniknya karena kota Krui ini terletak di tepi pantai maka RTH juga …",3
unknown location,Rijanto,"Pantai bersih, bisa buat surfing dan santai bersama keluarga.",5
unknown location,MOH ANSORI,"Tempat wisata yang cocok bagi semua usia,
Pemandangan yang indah,
Apalagi waktu ada senja, …",5
unknown location,Angga Meygi Berta,"Pelabuhan Jukung di Pesisir Barat Kabupaten Pesisir Barat, Provinsi Lampung
lokasi pantai yang menarik dan makin apik
dengan nuansa pantai yang berhadpan langusng dengan samudera hindia …",5
